Date,Average Temperature(C),Highest Temperature(C),Lowest Temperature(C),Precipitation Amount(mm),Barometic Pressure(hPa),Average Vapor Pressure(hPa),Sunshine Hours(h),Solar Radiation Estimation(Wm-2)
1 ,6.5,9.5,3.2,0,1023.1,5.4,5,99.5
2,8.4,11.6,5.2,0,1021.5,6.4,8,130.6
3 ,9.7,13.4,6.5,0,1017.4,6.7,5.5,105.2
4,9.4,12.8,6.4,0,1014.7,6.6,7.2,123.1
5 ,6.7,10.1,4.9,0,1023.4,6.1,3.3,83
6,7.3,10.3,3.7,0,1024.9,5.9,5.6,107.2
7 ,7.7,10.5,6.1,1,1017.7,8.1,0,23.8
8,13,16.9,9.1,23,1003.4,10.3,4.7,98.6
9 ,10.4,13.1,8.3,0,1012.3,8,3.3,84.3
10,9.3,13.4,6.9,0,1014.9,6.6,7.2,125.7
11 ,8.1,11.3,5.4,0,1013,7.4,8,134.7
12,9,10.5,6.9,0,1008.3,8.3,0,24.4
13 ,8.6,11.1,6.3,0,1013.1,5.8,8.1,137
14,7.4,10,4.9,1.5,1018.2,6.4,3.7,90.6
15 ,7.3,10,5.8,0.5,1017.5,6.9,3.8,92.1
16,6.9,9.1,4,0,1019.5,6.7,4.4,99.1
17 ,7.7,10.1,6,0,1014.4,7.3,0,25.1
18,8.6,12.1,6.1,0,1010.5,5.8,7.7,136.1
19 ,8,10.3,4.5,0,1013.3,6.4,5.6,113.9
20,9.5,12.5,6.9,0,1014.4,6.2,3.6,92.6
21 ,7.6,10.9,5.3,0,1022.2,6.1,4.8,106.4
22,7.6,10.6,4.3,2,1024,7,2.6,82.7
23 ,10.6,12.5,8.1,27,1016.4,11.5,0,26.2
24,11.4,14.6,8.5,0,1021.6,9.8,0.8,63.6
25 ,8.5,10.6,6.4,0,1024.4,5.8,0.8,64.1
26,9.4,11.8,7.1,0,1021,6.6,2.7,86.1
27 ,9.2,10.7,7.7,5,1012.5,7.7,0,27
28,12.7,17.6,9.1,1,1004.3,10.4,3.8,99.9
29 ,11.5,15.2,7.7,1,1004.7,9.6,5.3,117.9
30,8.5,12.8,6,0.5,1003.9,7.2,6.8,136.1
31 ,6.4,10,4.6,0,1009.8,5.8,5.2,118.4
